tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt6461746,Reverie,2018,60,"Drama,Sci-Fi,Thriller",6.6,4281,https://www.imdb.com/title/tt6461746/
tt13944138,Maggie,2022,30,"Comedy,Sci-Fi",7.1,4258,https://www.imdb.com/title/tt13944138/
tt14192428,Moonhaven,2022,60,"Drama,Sci-Fi",5.7,4177,https://www.imdb.com/title/tt14192428/
tt10016724,Orphan Black: Echoes,2023,\N,"Drama,Mystery,Sci-Fi",6.4,4174,https://www.imdb.com/title/tt10016724/
tt5031234,Time After Time,2017,60,"Drama,Sci-Fi",6.7,4174,https://www.imdb.com/title/tt5031234/
tt4939950,SS-GB,2017,60,"Action,Drama,Sci-Fi",6.6,4091,https://www.imdb.com/title/tt4939950/
tt1338724,Battlestar Galactica: The Face of the Enemy,2008,3,"Drama,Sci-Fi,Short",7.5,4081,https://www.imdb.com/title/tt1338724/
tt5337806,Charité,2017,45,"Drama,History,Sci-Fi",7.8,4073,https://www.imdb.com/title/tt5337806/
tt26672563,Duty After School,2023,\N,"Sci-Fi,Thriller",6.9,3991,https://www.imdb.com/title/tt26672563/
tt5831366,Passengers,2009,\N,"Comedy,Sci-Fi",6.1,3939,https://www.imdb.com/title/tt5831366/
tt0289800,The Clone,2001,60,"Drama,Romance,Sci-Fi",8.1,3931,https://www.imdb.com/title/tt0289800/
tt2732442,Star Trek Continues,2013,45,"Action,Adventure,Sci-Fi",8.1,3925,https://www.imdb.com/title/tt2732442/
tt0367344,Jake 2.0,2003,60,"Drama,Sci-Fi",6.7,3888,https://www.imdb.com/title/tt0367344/
tt2621446,Star Trek: Renegades,2015,88,"Action,Adventure,Sci-Fi",4.9,3846,https://www.imdb.com/title/tt2621446/
tt8594164,Moonbase 8,2020,30,"Comedy,Sci-Fi",5.9,3816,https://www.imdb.com/title/tt8594164/
tt5095238,Fear the Walking Dead: Flight 462,2015,1,"Drama,Horror,Sci-Fi",6.7,3801,https://www.imdb.com/title/tt5095238/
tt4649420,Cleverman,2016,50,"Drama,Fantasy,Sci-Fi",6.4,3711,https://www.imdb.com/title/tt4649420/
tt0429422,ReGenesis,2004,49,"Drama,Mystery,Sci-Fi",7.8,3687,https://www.imdb.com/title/tt0429422/
tt7043380,Osmosis,2019,55,"Romance,Sci-Fi",5.8,3679,https://www.imdb.com/title/tt7043380/
tt0220238,The Invisible Man,2000,120,"Action,Comedy,Sci-Fi",7.4,3651,https://www.imdb.com/title/tt0220238/
tt9103772,Limetown,2019,30,"Crime,Mystery,Sci-Fi",6.6,3607,https://www.imdb.com/title/tt9103772/
tt4520992,Falling Water,2016,60,"Drama,Mystery,Sci-Fi",6.4,3582,https://www.imdb.com/title/tt4520992/
tt6445112,Missions,2017,26,"Drama,Sci-Fi",6.6,3580,https://www.imdb.com/title/tt6445112/
